NETWORK DATA - Epoca 100

Pat:	Entrada1   	Entrada2   	Entrada3   	Entrada4   	Entrada5   	Entrada6   	Entrada7   	Entrada8   	Entrada9   	Entrada10  	Entrada11  	Entrada12  	Entrada13  	Entrada14  	Entrada15  	Entrada16  	Entrada17  	Entrada18  	Entrada19  	Entrada20  	Entrada21  	Entrada22  	Alvo1   	Saida1   	
1	0.022547	0.026444	0.022547	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	0.025514	1.000000	0.571804	
2	0.025119	0.030261	0.024130	0.030261	0.027097	0.026377	0.026108	0.025966	0.025879	0.025820	0.025778	0.025746	0.025721	0.025700	0.025684	0.025670	0.025658	0.025648	0.025639	0.025631	0.025625	0.025619	1.000000	0.688249	
3	0.030320	0.031151	0.030004	0.030657	0.028283	0.027155	0.026676	0.026413	0.026247	0.026132	0.026049	0.025985	0.025935	0.025895	0.025861	0.025833	0.025810	0.025789	0.025771	0.025756	0.025742	0.025729	1.000000	0.713558	
4	0.030854	0.033030	0.029470	0.030854	0.029140	0.027828	0.027199	0.026836	0.026601	0.026437	0.026316	0.026223	0.026149	0.026089	0.026040	0.025998	0.025962	0.025932	0.025905	0.025881	0.025861	0.025842	1.000000	0.651164	
5	0.030854	0.031448	0.029074	0.029648	0.029310	0.028159	0.027505	0.027104	0.026836	0.026644	0.026501	0.026390	0.026301	0.026229	0.026169	0.026118	0.026074	0.026036	0.026003	0.025974	0.025949	0.025926	1.000000	0.630936	
6	0.030854	0.032239	0.030063	0.031705	0.030108	0.028804	0.028030	0.027542	0.027210	0.026971	0.026790	0.026649	0.026536	0.026444	0.026366	0.026301	0.026245	0.026196	0.026153	0.026116	0.026082	0.026053	1.000000	0.610300	
7	0.031448	0.032239	0.030063	0.031250	0.030489	0.029248	0.028432	0.027895	0.027521	0.027247	0.027038	0.026874	0.026741	0.026632	0.026541	0.026463	0.026396	0.026338	0.026288	0.026243	0.026203	0.026167	1.000000	0.653070	
8	0.031052	0.033010	0.030854	0.032437	0.031138	0.029828	0.028933	0.028328	0.027899	0.027582	0.027338	0.027145	0.026989	0.026860	0.026751	0.026659	0.026579	0.026510	0.026449	0.026396	0.026348	0.026305	1.000000	0.641996	
9	0.032931	0.034415	0.032634	0.033030	0.031769	0.030410	0.029445	0.028776	0.028294	0.027933	0.027654	0.027432	0.027251	0.027102	0.026976	0.026868	0.026775	0.026694	0.026623	0.026559	0.026503	0.026452	1.000000	0.773731	
10	0.033821	0.034217	0.032832	0.033426	0.032321	0.030959	0.029943	0.029218	0.028689	0.028288	0.027975	0.027724	0.027520	0.027350	0.027206	0.027083	0.026976	0.026884	0.026802	0.026729	0.026664	0.026606	1.000000	0.653265	
11	0.033426	0.036392	0.033426	0.035661	0.033434	0.031813	0.030657	0.029832	0.029225	0.028763	0.028402	0.028112	0.027874	0.027676	0.027508	0.027364	0.027240	0.027131	0.027035	0.026950	0.026873	0.026805	1.000000	0.705266	
12	0.036689	0.040348	0.036630	0.037579	0.034816	0.032862	0.031523	0.030570	0.029867	0.029332	0.028912	0.028573	0.028296	0.028064	0.027868	0.027699	0.027553	0.027425	0.027312	0.027212	0.027122	0.027042	0.000000	0.631659	
13	0.037480	0.039557	0.036788	0.039260	0.036297	0.034025	0.032490	0.031397	0.030590	0.029973	0.029487	0.029095	0.028773	0.028503	0.028274	0.028078	0.027908	0.027758	0.027627	0.027509	0.027405	0.027310	0.000000	0.647771	
14	0.039755	0.041713	0.035997	0.041278	0.037957	0.035344	0.033588	0.032338	0.031412	0.030702	0.030142	0.029689	0.029316	0.029004	0.028739	0.028511	0.028313	0.028139	0.027986	0.027849	0.027727	0.027617	0.000000	0.707725	
15	0.040744	0.041139	0.039557	0.039953	0.038622	0.036182	0.034384	0.033064	0.032069	0.031299	0.030687	0.030190	0.029779	0.029433	0.029139	0.028886	0.028666	0.028472	0.028301	0.028148	0.028011	0.027888	0.000000	0.627984	
16	0.040546	0.043117	0.040348	0.042326	0.039857	0.037299	0.035377	0.033946	0.032858	0.032010	0.031333	0.030782	0.030324	0.029939	0.029610	0.029327	0.029080	0.028862	0.028670	0.028498	0.028344	0.028205	0.000000	0.696162	
17	0.042346	0.043315	0.040744	0.040941	0.040218	0.037961	0.036072	0.034612	0.033480	0.032586	0.031867	0.031277	0.030786	0.030370	0.030015	0.029707	0.029439	0.029203	0.028993	0.028806	0.028637	0.028485	0.000000	0.647652	
18	0.040744	0.040744	0.038172	0.039458	0.039965	0.038233	0.036495	0.035073	0.033940	0.033030	0.032289	0.031676	0.031163	0.030727	0.030352	0.030027	0.029743	0.029491	0.029268	0.029069	0.028889	0.028727	0.000000	0.754429	
19	0.041733	0.041733	0.037975	0.039557	0.039829	0.038474	0.036878	0.035500	0.034372	0.033451	0.032693	0.032061	0.031528	0.031073	0.030681	0.030340	0.030040	0.029775	0.029539	0.029328	0.029137	0.028965	0.000000	0.675594	
20	0.039557	0.040546	0.038746	0.039656	0.039771	0.038689	0.037225	0.035896	0.034778	0.033851	0.033079	0.032431	0.031881	0.031410	0.031001	0.030645	0.030331	0.030053	0.029805	0.029583	0.029382	0.029200	0.000000	0.779123	
21	0.039656	0.041515	0.039161	0.039775	0.039772	0.038886	0.037544	0.036266	0.035163	0.034233	0.033451	0.032789	0.032224	0.031738	0.031315	0.030944	0.030618	0.030327	0.030068	0.029834	0.029623	0.029432	0.000000	0.737998	
22	0.039755	0.040348	0.037579	0.038370	0.039305	0.038792	0.037647	0.036466	0.035409	0.034500	0.033725	0.033062	0.032492	0.031998	0.031567	0.031188	0.030852	0.030554	0.030286	0.030045	0.029827	0.029628	0.000000	0.731786	
23	0.037381	0.039458	0.037381	0.038370	0.038993	0.038716	0.037738	0.036647	0.035637	0.034750	0.033983	0.033321	0.032747	0.032248	0.031810	0.031423	0.031080	0.030774	0.030499	0.030251	0.030025	0.029821	0.000000	0.749648	
24	0.038370	0.038766	0.037381	0.037975	0.038654	0.038581	0.037767	0.036774	0.035817	0.034958	0.034205	0.033548	0.032974	0.032472	0.032030	0.031638	0.031289	0.030977	0.030696	0.030441	0.030210	0.030000	0.000000	0.699233	
25	0.039359	0.040744	0.037975	0.039181	0.038830	0.038690	0.037944	0.037003	0.036076	0.035230	0.034481	0.033822	0.033244	0.032735	0.032285	0.031885	0.031528	0.031208	0.030919	0.030657	0.030419	0.030202	0.000000	0.720493	
26	0.039062	0.039755	0.036788	0.038983	0.038881	0.038743	0.038074	0.037192	0.036299	0.035473	0.034731	0.034074	0.033494	0.032980	0.032525	0.032118	0.031754	0.031427	0.031131	0.030863	0.030618	0.030395	0.000000	0.699101	
27	0.040546	0.042326	0.039755	0.042148	0.039970	0.039362	0.038583	0.037664	0.036749	0.035903	0.035143	0.034468	0.033870	0.033340	0.032868	0.032447	0.032069	0.031729	0.031421	0.031141	0.030886	0.030653	0.000000	0.533204	
28	0.042148	0.043216	0.041337	0.042741	0.040894	0.039977	0.039103	0.038147	0.037210	0.036344	0.035565	0.034872	0.034256	0.033709	0.033221	0.032785	0.032393	0.032039	0.031719	0.031428	0.031162	0.030919	0.000000	0.756505	
29	0.042722	0.044106	0.041733	0.042168	0.041318	0.040375	0.039486	0.038530	0.037592	0.036720	0.035932	0.035228	0.034600	0.034040	0.033540	0.033092	0.032689	0.032324	0.031994	0.031693	0.031418	0.031166	0.000000	0.654067	
30	0.042227	0.044699	0.041733	0.044699	0.042445	0.041161	0.040138	0.039118	0.038138	0.037235	0.036419	0.035690	0.035039	0.034458	0.033939	0.033473	0.033053	0.032673	0.032328	0.032014	0.031727	0.031463	0.000000	0.687995	
31	0.043908	0.047271	0.043513	0.047093	0.043994	0.042240	0.041007	0.039877	0.038827	0.037871	0.037012	0.036246	0.035563	0.034954	0.034409	0.033919	0.033478	0.033079	0.032717	0.032386	0.032084	0.031807	0.000000	0.644425	
32	0.044699	0.048240	0.044699	0.046499	0.044829	0.043014	0.041694	0.040508	0.039417	0.038428	0.037539	0.036746	0.036039	0.035407	0.034840	0.034332	0.033873	0.033457	0.033079	0.032735	0.032419	0.032130	0.000000	0.707085	
33	0.046282	0.046875	0.041772	0.043532	0.044397	0.043108	0.041923	0.040796	0.039734	0.038757	0.037872	0.037077	0.036364	0.035725	0.035151	0.034633	0.034166	0.033741	0.033355	0.033001	0.032678	0.032380	0.000000	0.507030	
34	0.043513	0.043908	0.041377	0.041535	0.043443	0.042822	0.041875	0.040866	0.039872	0.038936	0.038076	0.037295	0.036589	0.035953	0.035379	0.034860	0.034389	0.033961	0.033570	0.033212	0.032884	0.032581	0.000000	0.679245	
35	0.042128	0.043315	0.041752	0.043117	0.043334	0.042876	0.042030	0.041081	0.040122	0.039206	0.038356	0.037579	0.036873	0.036234	0.035655	0.035130	0.034653	0.034218	0.033821	0.033457	0.033122	0.032813	0.000000	0.718313	
